ok  	github.com/relux-works/curator/cmd/curator	2.044s
ok  	github.com/relux-works/curator/internal/adapters	4.837s
ok  	github.com/relux-works/curator/internal/audit	2.335s
ok  	github.com/relux-works/curator/internal/buildcache	6.332s
ok  	github.com/relux-works/curator/internal/buildmeta	4.490s
ok  	github.com/relux-works/curator/internal/buildsource	6.202s
ok  	github.com/relux-works/curator/internal/capabilities	7.024s
ok  	github.com/relux-works/curator/internal/closure	8.290s
ok  	github.com/relux-works/curator/internal/config	6.696s
ok  	github.com/relux-works/curator/internal/devsub	4.057s
ok  	github.com/relux-works/curator/internal/envfiles	7.968s
ok  	github.com/relux-works/curator/internal/gitignore	3.457s
ok  	github.com/relux-works/curator/internal/gitops	3.913s
ok  	github.com/relux-works/curator/internal/globalbins	5.825s
ok  	github.com/relux-works/curator/internal/hashing	3.592s
ok  	github.com/relux-works/curator/internal/identifiers	7.433s
ok  	github.com/relux-works/curator/internal/identity	6.112s
ok  	github.com/relux-works/curator/internal/install	34.486s
ok  	github.com/relux-works/curator/internal/interop	5.420s
ok  	github.com/relux-works/curator/internal/locale	5.829s
ok  	github.com/relux-works/curator/internal/managerlock	17.067s
ok  	github.com/relux-works/curator/internal/manifest	6.423s
ok  	github.com/relux-works/curator/internal/marker	6.464s
ok  	github.com/relux-works/curator/internal/mcp	6.243s
ok  	github.com/relux-works/curator/internal/protocoljson	5.788s
ok  	github.com/relux-works/curator/internal/registry	7.116s
ok  	github.com/relux-works/curator/internal/runtimestore	16.627s
ok  	github.com/relux-works/curator/internal/scopes	6.118s
ok  	github.com/relux-works/curator/internal/shell	6.446s
ok  	github.com/relux-works/curator/internal/skillcheck	6.182s
ok  	github.com/relux-works/curator/internal/skillspec	6.095s
ok  	github.com/relux-works/curator/internal/snapshot	7.830s
ok  	github.com/relux-works/curator/internal/transaction	45.731s
ok  	github.com/relux-works/curator/internal/ui	6.482s
ok  	github.com/relux-works/curator/internal/verr	6.540s
ok  	github.com/relux-works/curator/internal/version	6.327s
ok  	github.com/relux-works/curator/internal/whitelist	6.127s
