cmd/curator	TestBootstrapAndProjectCommands	darwin
cmd/curator	TestBootstrapAndProjectCommands	linux
cmd/curator	TestBootstrapAndProjectCommands	windows
cmd/curator	TestCLIEndToEndInstallStatusAndTamperCheck	darwin
cmd/curator	TestCLIEndToEndInstallStatusAndTamperCheck	linux
cmd/curator	TestCLIEndToEndInstallStatusAndTamperCheck	windows
cmd/curator	TestInstallAuditFlagAcceptsOptionalMode	darwin
cmd/curator	TestInstallAuditFlagAcceptsOptionalMode	linux
cmd/curator	TestInstallAuditFlagAcceptsOptionalMode	windows
cmd/curator	TestInstallFlagsAcceptTrailingOptions	darwin
cmd/curator	TestInstallFlagsAcceptTrailingOptions	linux
cmd/curator	TestInstallFlagsAcceptTrailingOptions	windows
cmd/curator	TestRunNoArgsPrintsUsage	darwin
cmd/curator	TestRunNoArgsPrintsUsage	linux
cmd/curator	TestRunNoArgsPrintsUsage	windows
cmd/curator	TestRunUnknownCommand	darwin
cmd/curator	TestRunUnknownCommand	linux
cmd/curator	TestRunUnknownCommand	windows
cmd/curator	TestRunVersionExitsZero	darwin
cmd/curator	TestRunVersionExitsZero	linux
cmd/curator	TestRunVersionExitsZero	windows
cmd/curator	TestSelectProjectTargetsUsesAliasesAndStableAllOrder	darwin
cmd/curator	TestSelectProjectTargetsUsesAliasesAndStableAllOrder	linux
cmd/curator	TestSelectProjectTargetsUsesAliasesAndStableAllOrder	windows
cmd/curator	TestShellInitPrintsHooks	darwin
cmd/curator	TestShellInitPrintsHooks	linux
cmd/curator	TestShellInitPrintsHooks	windows
cmd/curator	TestSkillCheckOnTempDir	darwin
cmd/curator	TestSkillCheckOnTempDir	linux
cmd/curator	TestSkillCheckOnTempDir	windows
cmd/curator	TestStatusDriftDetectsContentTampering	darwin
cmd/curator	TestStatusDriftDetectsContentTampering	linux
cmd/curator	TestStatusDriftDetectsContentTampering	windows
cmd/curator	TestUsageEnumeratesDocumentedCommands	darwin
cmd/curator	TestUsageEnumeratesDocumentedCommands	linux
cmd/curator	TestUsageEnumeratesDocumentedCommands	windows
internal/adapters	TestGitignoreEntriesAndUnknownAgents	darwin
internal/adapters	TestGitignoreEntriesAndUnknownAgents	linux
internal/adapters	TestGitignoreEntriesAndUnknownAgents	windows
internal/adapters	TestMarkerDirectoryIsAdoptable	darwin
internal/adapters	TestMarkerDirectoryIsAdoptable	linux
internal/adapters	TestMarkerDirectoryIsAdoptable	windows
internal/adapters	TestNativeDiscoveryAgentsGetNoProjectMirror	darwin
internal/adapters	TestNativeDiscoveryAgentsGetNoProjectMirror	linux
internal/adapters	TestNativeDiscoveryAgentsGetNoProjectMirror	windows
internal/adapters	TestRefreshGlobalNativeDiscoveryMirror	darwin
internal/adapters	TestRefreshGlobalNativeDiscoveryMirror	linux
internal/adapters	TestRefreshGlobalNativeDiscoveryMirror	windows
internal/adapters	TestRefreshProjectMirrorsAndPrunes	darwin
internal/adapters	TestRefreshProjectMirrorsAndPrunes	linux
internal/adapters	TestRefreshProjectMirrorsAndPrunes	windows
internal/adapters	TestSymlinkModeUsesRelativeLinks	darwin
internal/adapters	TestSymlinkModeUsesRelativeLinks	linux
internal/adapters	TestSymlinkModeUsesRelativeLinks	windows
internal/adapters	TestUnmanagedConflictRefused	darwin
internal/adapters	TestUnmanagedConflictRefused	linux
internal/adapters	TestUnmanagedConflictRefused	windows
internal/audit	TestCanaryFires	darwin
internal/audit	TestCanaryFires	linux
internal/audit	TestCanaryFires	windows
internal/audit	TestDecideTable	darwin
internal/audit	TestDecideTable	linux
internal/audit	TestDecideTable	windows
internal/audit	TestDetectorsAgainstCapabilities	darwin
internal/audit	TestDetectorsAgainstCapabilities	linux
internal/audit	TestDetectorsAgainstCapabilities	windows
