package	test	class	verdict	reason
internal/buildrepo	TestEveryOperatorSelectionShapeReachesTheWrapperPolicy	UNCLASSIFIED	FATAL-unclassified	an operator agent socket is a unix-domain rendezvous point
internal/buildrepo	TestOperatorSSHCredentialsAdmitOnlyResolvedObjectsOfTheRightKind	UNCLASSIFIED	FATAL-unclassified	cannot create a symbolic link here: nope
internal/config	TestBuildSSHExpandedResolvesHome	UNCLASSIFIED	FATAL-unclassified	no home directory: nope
internal/install	TestEveryConfiguredShapeReachesTheWrapperPolicy	UNCLASSIFIED	FATAL-unclassified	an operator agent socket is a unix-domain rendezvous point
