cmd/curator	TestAuthoritativeBootstrapCasesAreExecutable	darwin,linux,windows
cmd/curator	TestAuthoritativeUpgradeCasesAreExecutable	darwin,linux,windows
cmd/curator	TestBootstrapAndProjectCommands	darwin,linux,windows
cmd/curator	TestBootstrapIfMissingCreatesAbsentConfig	darwin,linux,windows
cmd/curator	TestBootstrapIfMissingKeepsExistingConfigWithoutParsing	darwin,linux,windows
cmd/curator	TestBootstrapIfMissingRejectsForce	darwin,linux,windows
cmd/curator	TestBuildInputDriftIsAttributedOnlyAsFarAsTheMarkerProves	darwin,linux,windows
cmd/curator	TestBuildReportDetailIsBounded	darwin,linux,windows
cmd/curator	TestBuildReportsNeverPublishAnAbsolutePath	darwin,linux,windows
cmd/curator	TestCLIEndToEndInstallStatusAndTamperCheck	darwin,linux,windows
cmd/curator	TestCheckFailsForEveryNonCurrentCode	darwin,linux,windows
cmd/curator	TestClassifyBuildCommandDetectsRecordedIdentityDrift	darwin,linux,windows
cmd/curator	TestClassifyBuildCommandMapsEveryCacheOutcomeToADistinctCode	darwin,linux,windows
cmd/curator	TestClassifySkillBuildsAcceptsOnlyAnExactlyCurrentInstallation	darwin,linux,windows
cmd/curator	TestClassifySkillBuildsDetectsCommandDriftInBothDirections	darwin,linux,windows
cmd/curator	TestClassifySkillBuildsDetectsContextExposure	darwin,linux,windows
cmd/curator	TestClassifySkillBuildsRefusesAMarkerThatCannotDescribeABuild	darwin,linux,windows
cmd/curator	TestClassifySkillBuildsWithoutCompiledStateStaysSilent	darwin,linux,windows
cmd/curator	TestCompiledProjectStatusRepairRollbackRecovery	darwin,linux,windows
cmd/curator	TestCurrentnessCodesAreDistinctAndOnlyExactStatesPass	darwin,linux,windows
cmd/curator	TestDryRunNeverClaimsACompletedCompilerCheck	darwin,linux,windows
cmd/curator	TestEveryCurrentnessCodeIsDocumented	darwin,linux,windows
cmd/curator	TestGCPrunesDeadConsumersUnderTheHomeLock	darwin,linux,windows
cmd/curator	TestGCRetainsAndReportsReferencedCompiledState	darwin,linux,windows
cmd/curator	TestGCRunsSerializedAcrossConcurrentInvocations	darwin,linux,windows
cmd/curator	TestGCWaitsForTheHomeLock	darwin,linux,windows
cmd/curator	TestGlobalStatusFailsCheckWhenTheClosureCannotBeProven	darwin,linux,windows
cmd/curator	TestGlobalStatusFailsCheckWhenTheUserHomeCannotBeResolved	darwin,linux,windows
cmd/curator	TestGlobalStatusKeepsTheDeclaredSkillSurfaceWithoutCompiledCommands	darwin,linux,windows
cmd/curator	TestGlobalStatusRejectsPositionalArguments	darwin,linux,windows
cmd/curator	TestGlobalStatusReportsATransitivelyResolvedCompiledCommand	darwin,linux,windows
cmd/curator	TestGlobalStatusReportsCompiledCurrentnessAndFailsCheck	darwin,linux,windows
cmd/curator	TestGlobalStatusWithoutASkillfileStaysSilentAndCurrent	darwin,linux,windows
cmd/curator	TestGlobalUpgradeDryRunDoesNotCreateSkillsRoot	darwin,linux,windows
cmd/curator	TestGoToolchainGuidanceNamesTheAcceptedSelectionAndTestedFamilies	darwin,linux,windows
cmd/curator	TestHiddenWorkerModeIsNotAUserVisibleCommand	darwin,linux,windows
cmd/curator	TestInputCausesAreDistinctAndDocumented	darwin,linux,windows
cmd/curator	TestInstallAuditFlagAcceptsOptionalMode	darwin,linux,windows
cmd/curator	TestInstallFlagsAcceptTrailingOptions	darwin,linux,windows
cmd/curator	TestMain	darwin,linux,windows
cmd/curator	TestMarkerDigestsDetectAConcurrentInstallMarkerChange	darwin,linux,windows
cmd/curator	TestMarkerRefusalSeparatesUnsupportedFromInvalid	darwin,linux,windows
cmd/curator	TestRepairNoticesDistinguishRepairFromAPreservedInstallation	darwin,linux,windows
